farm,date,temp,humid,light_hr,lux
A,2023-01-01,35,60,23,15
A,2023-01-02,35,60,23,15
A,2023-01-03,34,60,23,15
A,2023-01-04,33,60,23,15
A,2023-01-05,33,60,14,10
A,2023-01-06,33,60,14,10
A,2023-01-07,32,60,14,10
A,2023-01-08,31,60,14,10
A,2023-01-09,30,60,14,10
A,2023-01-10,30,60,14,10
A,2023-01-11,29,60,14,10
A,2023-01-12,29,60,14,10
A,2023-01-13,28,60,14,10
A,2023-01-14,28,60,14,10
A,2023-01-15,27,60,14,10
A,2023-01-16,26,60,14,10
A,2023-01-17,26,60,14,10
A,2023-01-18,25,60,18,5
A,2023-01-19,24,60,18,5
A,2023-01-20,23,60,18,5
A,2023-01-21,22,60,18,5
A,2023-01-22,22,60,18,5
A,2023-01-23,22,60,23,5
A,2023-01-24,22,60,23,5
A,2023-01-25,21,,,
A,2023-01-26,21,60,23,5
A,2023-01-27,21,60,23,5
A,2023-01-28,21,60,23,5
A,2023-01-29,21,60,23,5
A,2023-01-30,21,60,23,5
B,2023-01-01,35,60,23,15
B,2023-01-02,35,60,23,15
B,2023-01-03,34,60,23,15
B,2023-01-04,33,60,23,15
B,2023-01-05,33,60,14,10
B,2023-01-06,33,60,14,10
B,2023-01-07,32,60,14,10
B,2023-01-08,31,60,14,10
B,2023-01-09,30,60,14,10
B,2023-01-10,30,60,14,10
B,2023-01-11,29,60,14,10
B,2023-01-12,29,60,14,10
B,2023-01-13,28,60,14,10
B,2023-01-14,28,60,14,10
B,2023-01-15,27,60,14,10
B,2023-01-16,26,60,14,10
B,2023-01-17,26,60,14,10
B,2023-01-18,25,60,18,5
B,2023-01-19,24,60,18,5
B,2023-01-20,23,60,18,5
B,2023-01-21,22,60,18,5
B,2023-01-22,22,60,18,5
B,2023-01-23,22,80,23,5
B,2023-01-24,22,70,23,5
B,2023-01-25,21,,,
B,2023-01-26,21,60,23,5
B,2023-01-27,21,60,23,5
B,2023-01-28,21,60,23,5
B,2023-01-29,21,60,23,5
B,2023-01-30,21,60,23,5
