chick_no,check_date,weight,body_temp,breath_rate,feed_intake,diarrhea_yn,note
A2310001,2023-01-10,845,40.4,69,50,N,
A2310002,2023-01-10,806,40.4,69,57,N,
A2310003,2023-01-10,871,40.3,68,54,Y,
A2300004,2023-01-10,897,40.8,68,53,N,
A2300005,2023-01-10,910,40.7,69,54,N,
A2310006,2023-01-10,884,40.4,70,54,N,
A2310007,2023-01-10,858,40.7,67,57,Y,
A2310008,2023-01-10,897,40.8,68,57,N,
A2300009,2023-01-10,792,40.2,69,56,N,
A2300010,2023-01-10,840,40.7,70,50,Y,
A2310011,2023-01-10,828,40.7,68,54,N,
A2310012,2023-01-10,744,40.3,67,51,Y,
A2300013,2023-01-10,840,40.6,69,56,N,
A2300014,2023-01-10,756,40.1,70,56,N,
A2310015,2023-01-10,782,40.6,67,50,N,
A2310016,2023-01-10,817,40.3,67,52,N,
A2300017,2023-01-10,758,40.8,70,56,N,
A2300018,2023-01-10,805,40.3,68,53,N,
A2300019,2023-01-10,793,40.2,70,53,N,
A2300020,2023-01-10,805,40.3,69,57,Y,
B2310001,2023-01-10,897,40.4,69,52,Y,
B2310002,2023-01-10,845,40.6,67,54,Y,
B2310003,2023-01-10,897,40.1,70,52,N,
B2300004,2023-01-10,884,40.4,68,56,N,
B2300005,2023-01-10,858,40.9,70,55,N,
B2310006,2023-01-10,858,40,70,57,N,
B2300007,2023-01-10,858,40,70,55,N,
B2300008,2023-01-10,910,40.5,69,54,Y,
B2300009,2023-01-10,858,40.6,70,53,N,
B2300010,2023-01-10,804,40.7,70,51,N,
B2300011,2023-01-10,792,40.9,68,50,Y,
B2300012,2023-01-10,732,40.2,69,55,N,
B2310013,2023-01-10,780,40.4,70,56,N,
B2300014,2023-01-10,744,40.4,67,55,N,
B2310015,2023-01-10,805,40.3,68,50,N,
B2310016,2023-01-10,805,40.6,68,52,N,
B2310017,2023-01-10,758,40.4,67,57,N,
B2310018,2023-01-10,758,40.2,69,58,N,
B2310019,2023-01-10,770,40.5,67,50,Y,
