chick_no,order_no,customer,due_date,arrival_date,destination
A2310001,B001,BBQUEEN,2023-02-05,2023-02-05,부산
A2310002,M002,MAXCANA,2023-02-05,2023-02-04,당진
A2310003,M002,MAXCANA,2023-02-05,2023-02-04,당진
A2300004,M001,MAXCANA,2023-02-05,2023-02-05,대전
A2300005,M001,MAXCANA,2023-02-05,2023-02-05,대전
A2310006,B002,BBQUEEN,2023-02-05,2023-02-05,울산
A2310007,B002,BBQUEEN,2023-02-05,2023-02-05,울산
A2310008,M002,MAXCANA,2023-02-05,2023-02-04,당진
A2300009,M001,MAXCANA,2023-02-05,2023-02-05,대전
A2300010,B001,BBQUEEN,2023-02-05,2023-02-05,부산
A2310011,B002,BBQUEEN,2023-02-05,2023-02-05,울산
A2310012,B002,BBQUEEN,2023-02-05,2023-02-05,울산
A2300013,B002,BBQUEEN,2023-02-05,2023-02-05,울산
A2300014,M001,MAXCANA,2023-02-05,2023-02-05,대전
A2310015,M002,MAXCANA,2023-02-05,2023-02-04,당진
A2310016,M002,MAXCANA,2023-02-05,2023-02-04,당진
A2300017,B001,BBQUEEN,2023-02-05,2023-02-05,부산
A2300018,M001,MAXCANA,2023-02-05,2023-02-05,대전
A2300019,M001,MAXCANA,2023-02-05,2023-02-05,대전
A2300020,M001,MAXCANA,2023-02-05,2023-02-05,대전
B2310001,Y001,YESYES,2023-02-04,2023-02-04,서울
B2310002,Y001,YESYES,2023-02-04,2023-02-04,서울
B2310003,Y001,YESYES,2023-02-04,2023-02-04,서울
B2300004,Y001,YESYES,2023-02-04,2023-02-04,서울
B2300005,G001,GUBNA,2023-02-05,2023-02-05,대구
B2310006,Y001,YESYES,2023-02-04,2023-02-04,서울
B2300007,Y001,YESYES,2023-02-04,2023-02-04,서울
B2300008,Y001,YESYES,2023-02-04,2023-02-04,서울
B2300010,G001,GUBNA,2023-02-05,2023-02-05,대구
B2300011,G001,GUBNA,2023-02-05,2023-02-05,대구
B2300012,G001,GUBNA,2023-02-05,2023-02-05,대구
B2310013,G002,GUBNA,2023-02-05,2023-02-05,광주
B2300014,G002,GUBNA,2023-02-05,2023-02-05,광주
B2310015,Y001,YESYES,2023-02-04,2023-02-04,서울
B2310016,G001,GUBNA,2023-02-05,2023-02-05,대구
B2310017,G002,GUBNA,2023-02-05,2023-02-05,광주
B2310018,Y001,YESYES,2023-02-04,2023-02-04,서울
B2300020,Y001,YESYES,2023-02-04,2023-02-04,서울
