client_no,age,gender,edu,marital,card_type
1,45,F,High School,Married,Blue
2,58,M,Unknown,Single,Blue
3,46,M,Doctorate,Divorced,Blue
4,34,F,Uneducated,Single,Blue
5,49,F,Uneducated,Married,Blue
6,43,M,Unknown,Unknown,Blue
7,32,F,Graduate,Married,Blue
8,37,F,High School,Single,Blue
9,55,F,College,Single,Blue
10,52,M,High School,Single,Blue
11,46,M,Graduate,Unknown,Blue
12,47,F,Graduate,Married,Blue
13,56,M,Graduate,Married,Blue
14,53,F,High School,Married,Blue
15,44,F,Graduate,Divorced,Blue
16,49,F,Graduate,Married,Blue
17,48,M,Unknown,Married,Blue
18,41,F,Graduate,Single,Silver
19,46,F,College,Divorced,Blue
20,50,F,Post-Graduate,Single,Blue
21,45,F,Graduate,Single,Blue
22,47,F,Uneducated,Single,Blue
23,35,M,Uneducated,Married,Blue
24,62,F,Graduate,Single,Blue
25,40,M,Graduate,Unknown,Blue
26,61,F,Graduate,Married,Blue
27,26,M,Graduate,Divorced,Blue
28,39,F,Unknown,Married,Blue
29,49,F,Graduate,Married,Blue
30,54,M,Post-Graduate,Unknown,Blue
31,46,M,Doctorate,Divorced,Blue
32,39,F,Graduate,Single,Blue
33,53,M,High School,Single,Blue
34,45,M,College,Married,Blue
35,44,M,Uneducated,Married,Blue
36,45,M,Graduate,Single,Blue
37,64,F,Uneducated,Married,Blue
38,41,M,Unknown,Married,Blue
39,38,M,Graduate,Married,Blue
40,33,F,Post-Graduate,Married,Blue
41,26,F,Unknown,Single,Blue
42,38,M,Graduate,Married,Blue
43,48,F,Graduate,Married,Blue
44,51,F,High School,Married,Silver
45,31,F,Graduate,Married,Blue
46,27,M,Graduate,Single,Blue
47,33,M,Graduate,Single,Blue
48,38,F,High School,Single,Blue
49,41,M,Uneducated,Single,Blue
50,40,M,High School,Unknown,Silver
51,57,M,Uneducated,Unknown,Blue
52,36,F,Unknown,Single,Blue
53,38,F,High School,Married,Blue
54,50,F,High School,Single,Blue
55,53,M,Graduate,Single,Blue
56,35,F,Graduate,Single,Blue
57,38,F,Graduate,Married,Blue
58,56,F,College,Married,Blue
59,63,M,Graduate,Married,Blue
60,49,M,College,Divorced,Blue
61,39,M,Graduate,Single,Blue
62,37,F,Post-Graduate,Married,Blue
63,47,F,High School,Married,Blue
64,61,M,Uneducated,Single,Blue
65,47,M,Graduate,Married,Blue
66,53,M,High School,Married,Gold
67,49,F,Unknown,Married,Blue
68,30,M,Uneducated,Divorced,Blue
69,55,F,College,Divorced,Blue
70,57,F,High School,Married,Blue
71,52,F,Post-Graduate,Single,Blue
72,29,M,College,Single,Blue
73,53,M,College,Married,Blue
74,47,F,Unknown,Married,Blue
75,35,M,Graduate,Married,Blue
76,42,M,Graduate,Unknown,Silver
77,48,F,Doctorate,Married,Blue
78,64,M,College,Single,Blue
79,59,F,Unknown,Single,Blue
80,41,F,Post-Graduate,Single,Blue
81,36,M,Graduate,Single,Blue
82,43,F,Uneducated,Single,Blue
83,34,F,Graduate,Single,Blue
84,65,F,High School,Married,Blue
85,42,F,Uneducated,Divorced,Blue
86,42,M,Graduate,Single,Silver
87,45,M,Graduate,Single,Blue
88,40,M,Graduate,Divorced,Blue
89,52,F,Post-Graduate,Married,Blue
90,57,F,Graduate,Married,Blue
91,42,M,Graduate,Single,Blue
92,57,M,Uneducated,Single,Blue
93,43,M,Post-Graduate,Unknown,Blue
94,43,F,High School,Married,Silver
95,33,F,Doctorate,Unknown,Blue
96,35,M,High School,Single,Blue
97,65,F,Post-Graduate,Married,Blue
98,44,F,Graduate,Single,Blue
99,49,F,Graduate,Married,Blue
100,66,F,Doctorate,Married,Blue
101,40,M,Uneducated,Married,Blue
102,50,F,Graduate,Married,Blue
103,42,M,Uneducated,Married,Blue
104,53,M,Unknown,Married,Blue
105,53,F,College,Married,Blue
106,59,F,Graduate,Single,Blue
107,37,M,Graduate,Single,Blue
108,49,F,Uneducated,Married,Blue
109,47,F,Unknown,Single,Blue
110,57,M,Graduate,Married,Blue
111,47,F,Uneducated,Divorced,Silver
112,47,M,Uneducated,Married,Blue
113,46,F,Graduate,Divorced,Blue
114,51,M,Uneducated,Single,Blue
115,58,F,Graduate,Single,Blue
116,41,M,High School,Married,Blue
117,31,F,College,Divorced,Blue
118,53,F,High School,Married,Blue
119,37,F,Uneducated,Married,Blue
120,51,M,Unknown,Single,Blue
121,46,F,Graduate,Married,Blue
122,47,F,Unknown,Single,Blue
123,46,M,Graduate,Married,Silver
124,50,M,College,Single,Blue
125,44,M,Graduate,Married,Blue
126,56,F,Uneducated,Married,Blue
127,34,F,Graduate,Married,Gold
128,41,F,High School,Married,Blue
129,40,F,Unknown,Married,Blue
130,47,F,High School,Divorced,Blue
131,58,F,Unknown,Single,Blue
132,39,F,Post-Graduate,Married,Blue
133,49,M,High School,Married,Blue
134,45,F,Uneducated,Married,Blue
135,49,F,Graduate,Married,Silver
136,47,F,Unknown,Married,Blue
137,49,F,Post-Graduate,Married,Blue
138,52,F,Graduate,Married,Blue
139,41,F,High School,Married,Blue
140,44,M,High School,Single,Blue
141,45,F,Uneducated,Married,Blue
142,54,F,Graduate,Married,Blue
143,37,F,Graduate,Married,Blue
144,45,F,High School,Married,Blue
145,48,F,Doctorate,Divorced,Blue
146,37,M,Unknown,Single,Silver
147,45,F,High School,Single,Blue
148,35,F,Unknown,Married,Blue
149,33,F,Graduate,Single,Blue
150,50,M,Graduate,Married,Blue
151,41,F,High School,Single,Blue
152,47,M,College,Single,Blue
153,45,F,Graduate,Single,Blue
154,51,M,Doctorate,Single,Blue
155,56,F,Graduate,Single,Blue
156,52,F,College,Unknown,Blue
157,39,M,Unknown,Single,Gold
158,41,M,Graduate,Married,Blue
159,54,M,Graduate,Married,Blue
160,56,M,Graduate,Married,Blue
161,36,F,Unknown,Married,Blue
162,51,F,College,Married,Blue
163,48,M,College,Married,Blue
164,33,M,Post-Graduate,Married,Blue
165,59,F,Uneducated,Married,Blue
166,43,F,High School,Unknown,Blue
167,46,F,Graduate,Unknown,Blue
168,40,M,College,Divorced,Blue
169,57,M,Graduate,Single,Blue
170,38,M,High School,Married,Blue
171,51,F,High School,Married,Blue
172,42,F,Unknown,Married,Blue
173,44,F,Uneducated,Married,Blue
174,55,F,Graduate,Married,Blue
175,42,M,Graduate,Married,Blue
176,54,M,Unknown,Divorced,Blue
177,48,F,Graduate,Married,Blue
178,65,M,Unknown,Single,Blue
179,41,M,Graduate,Married,Blue
180,51,M,Unknown,Married,Blue
